ID Proyecto,OC Asociada PAC
1057532-56-PC22,1057532-897-AG22
1057532-57-PC22,1057532-1458-AG22
1057532-57-PC22,1057532-1455-AG22
1057532-57-PC22,1057532-1453-AG22
1057532-57-PC22,1057532-1459-AG22
1057532-57-PC22,1057532-1460-AG22
1057532-57-PC22,1057532-1415-AG22
1057727-5-PC22,1057727-7-AG22
1057727-15-PC22,1057727-19-AG22
1057727-15-PC22,1057727-21-AG22
1057727-15-PC22,1057727-20-AG22
1057922-2-PC22,1057922-2-AG22
1057922-3-PC22,1057922-5-AG22
1077241-2-PC22,1077241-3-AG22
1077241-2-PC22,1057532-812-AG22
1057532-58-PC22,1057532-1452-AG22
1057532-58-PC22,1057532-584-AG22
1057532-58-PC22,1057532-168-AG22
1057532-58-PC22,1057532-1464-AG22
1057532-58-PC22,1057532-1377-CM22
1057532-58-PC22,1057532-578-AG22
1057532-58-PC22,1057532-1085-AG22
1057532-58-PC22,1057532-1683-SE22
1057532-58-PC22,1057532-166-AG22
1057532-58-PC22,1057532-740-AG22
1057532-58-PC22,1057532-577-AG22
1057532-58-PC22,1057532-189-AG22
1057532-58-PC22,1057532-749-AG22
1057532-59-PC22,1057532-424-AG22
